order_id,status,total_amount,currency,payment_method,shipping_method,notes
84,Returned,340.99,EUR,debit_card,fedex,Leave with neighbor if not home
85,Cancelled,842.99,USD,bank_transfer,ups,
86,Delivered,392.99,USD,apple_pay,overnight,
87,Cancelled,1307.95,USD,klarna,ups,
88,Returned,596.95,USD,debit_card,fedex,
89,Processing,237.99,GBP,google_pay,fedex,
90,Refunded,810.99,GBP,debit_card,express,
91,Shipped,468.99,EUR,google_pay,overnight,
92,Processing,842.99,USD,debit_card,economy,
93,Shipped,961.99,USD,paypal,ups,
94,Pending,1164.95,GBP,credit_card,overnight,
95,Returned,867.95,USD,klarna,standard,
96,Pending,301.95,USD,google_pay,fedex,
97,Returned,1481.99,EUR,klarna,dhl,
98,Processing,376.99,USD,paypal,economy,
99,Refunded,858.99,EUR,debit_card,fedex,
100,Shipped,675.99,EUR,paypal,pickup_point,
101,Cancelled,210.95,GBP,apple_pay,fedex,
102,Processing,182.99,USD,bank_transfer,fedex,
103,Delivered,93.99,USD,google_pay,pickup_point,Please leave at front door
104,Refunded,54.95,EUR,credit_card,dhl,
105,Cancelled,1204.99,GBP,klarna,overnight,
106,Delivered,785.95,GBP,apple_pay,economy,
107,Refunded,474.95,USD,debit_card,overnight,
108,Refunded,492.95,EUR,bank_transfer,express,Gift wrapping requested
109,Pending,649.95,USD,google_pay,overnight,
110,Cancelled,1427.99,EUR,paypal,ups,
111,Delivered,1485.95,GBP,klarna,overnight,
112,Pending,27.95,GBP,klarna,economy,
113,Cancelled,965.99,EUR,klarna,overnight,
114,Returned,921.95,GBP,paypal,overnight,Signature required
115,Refunded,1109.99,GBP,credit_card,economy,
116,Processing,1377.95,USD,credit_card,fedex,
117,Refunded,388.95,EUR,google_pay,dhl,
118,Cancelled,423.99,USD,google_pay,standard,
119,Processing,1380.95,EUR,credit_card,overnight,
120,Returned,412.99,EUR,paypal,economy,
121,Cancelled,799.95,EUR,credit_card,pickup_point,
122,Pending,909.95,USD,credit_card,fedex,
123,Delivered,1458.99,EUR,google_pay,fedex,
124,Refunded,667.99,USD,debit_card,fedex,
125,Processing,1256.95,EUR,bank_transfer,standard,
126,Processing,659.95,GBP,bank_transfer,express,
127,Pending,516.95,GBP,credit_card,economy,
128,Processing,1216.99,GBP,credit_card,standard,
129,Cancelled,865.99,USD,apple_pay,economy,
130,Returned,156.95,EUR,google_pay,express,
131,Shipped,1201.99,USD,apple_pay,pickup_point,
132,Delivered,312.95,USD,debit_card,ups,
133,Cancelled,582.99,GBP,debit_card,pickup_point,
134,Shipped,1296.95,GBP,paypal,overnight,
135,Cancelled,930.99,USD,apple_pay,express,
136,Shipped,1321.95,GBP,google_pay,dhl,
137,Pending,1054.95,GBP,google_pay,standard,
138,Pending,419.95,USD,apple_pay,dhl,Ring doorbell twice
139,Cancelled,1336.95,GBP,klarna,pickup_point,
140,Pending,1327.99,USD,google_pay,ups,
141,Shipped,1098.95,USD,credit_card,express,
142,Pending,315.99,EUR,paypal,fedex,
143,Pending,899.99,EUR,google_pay,overnight,
144,Pending,522.99,EUR,paypal,overnight,
145,Delivered,1317.99,USD,apple_pay,overnight,
146,Pending,90.99,USD,credit_card,express,
147,Pending,1092.99,EUR,bank_transfer,express,
148,Cancelled,1450.95,USD,debit_card,express,Do not leave in direct sunlight
149,Returned,24.95,USD,debit_card,economy,
150,Returned,710.99,GBP,paypal,fedex,
151,Returned,519.99,EUR,debit_card,standard,
152,Refunded,347.95,USD,paypal,express,
153,Shipped,329.99,USD,klarna,overnight,
154,Refunded,731.99,USD,credit_card,dhl,
155,Delivered,46.99,EUR,google_pay,pickup_point,
156,Pending,394.99,USD,apple_pay,fedex,
157,Delivered,68.99,GBP,credit_card,ups,
158,Processing,1221.99,USD,google_pay,express,
159,Pending,340.99,USD,debit_card,pickup_point,
160,Cancelled,857.99,USD,apple_pay,overnight,
161,Cancelled,697.95,GBP,paypal,express,
162,Delivered,224.99,GBP,debit_card,pickup_point,
163,Returned,760.99,USD,apple_pay,pickup_point,Leave with neighbor if not home
164,Processing,631.99,USD,credit_card,dhl,
165,Cancelled,383.99,EUR,bank_transfer,standard,
166,Refunded,314.99,USD,paypal,dhl,
167,Delivered,624.99,USD,bank_transfer,standard,
168,Delivered,991.99,EUR,bank_transfer,express,
169,Shipped,42.95,EUR,google_pay,fedex,
170,Delivered,1264.95,GBP,apple_pay,fedex,
171,Cancelled,630.99,GBP,klarna,ups,
172,Refunded,84.95,USD,debit_card,economy,
173,Returned,1304.95,GBP,debit_card,ups,
174,Processing,1174.95,GBP,debit_card,fedex,Please leave at front door
175,Processing,488.99,USD,klarna,ups,Ring doorbell twice
176,Returned,708.95,USD,google_pay,dhl,
177,Pending,434.99,EUR,google_pay,fedex,
178,Shipped,408.99,EUR,paypal,ups,
179,Cancelled,523.99,USD,debit_card,fedex,
180,Pending,1448.99,EUR,credit_card,ups,
181,Shipped,429.95,USD,paypal,dhl,
182,Shipped,399.99,USD,klarna,pickup_point,
183,Processing,430.99,GBP,google_pay,overnight,
184,Processing,1240.95,EUR,google_pay,economy,
185,Delivered,641.95,USD,apple_pay,pickup_point,
186,Processing,309.99,GBP,debit_card,standard,
187,Refunded,224.95,EUR,google_pay,overnight,
188,Refunded,1430.95,GBP,google_pay,standard,
189,Delivered,547.99,GBP,paypal,standard,
190,Returned,560.99,USD,paypal,fedex,
191,Cancelled,512.99,EUR,google_pay,express,
192,Returned,291.95,USD,paypal,express,
193,Refunded,263.99,USD,klarna,express,
194,Shipped,1081.95,GBP,klarna,express,
195,Cancelled,230.99,EUR,credit_card,overnight,
196,Refunded,1288.95,USD,credit_card,economy,
197,Shipped,405.95,USD,paypal,standard,
198,Pending,695.95,USD,bank_transfer,fedex,
199,Refunded,1096.99,EUR,google_pay,pickup_point,
200,Refunded,1044.99,EUR,bank_transfer,overnight,
201,Cancelled,502.99,GBP,klarna,fedex,
202,Delivered,1090.99,GBP,klarna,economy,
203,Pending,483.95,GBP,apple_pay,pickup_point,
204,Shipped,984.95,GBP,apple_pay,standard,
205,Shipped,580.95,EUR,debit_card,ups,
206,Shipped,492.95,USD,klarna,express,
207,Delivered,1004.95,USD,credit_card,pickup_point,
208,Cancelled,541.95,EUR,apple_pay,fedex,
209,Shipped,717.99,EUR,apple_pay,overnight,
210,Cancelled,155.95,GBP,bank_transfer,standard,
211,Shipped,587.95,EUR,credit_card,ups,
212,Cancelled,768.95,EUR,google_pay,standard,
213,Processing,1037.99,USD,klarna,overnight,
214,Pending,871.99,USD,klarna,dhl,Residential address
215,Delivered,1088.95,USD,klarna,express,
216,Cancelled,386.95,USD,apple_pay,dhl,
217,Cancelled,847.99,EUR,apple_pay,dhl,
218,Delivered,1252.99,EUR,apple_pay,standard,
219,Cancelled,1357.95,EUR,credit_card,express,
220,Shipped,813.95,GBP,debit_card,overnight,
221,Refunded,49.99,GBP,debit_card,fedex,
222,Pending,106.99,EUR,debit_card,economy,
223,Delivered,509.99,GBP,debit_card,express,
224,Refunded,503.95,EUR,google_pay,overnight,
225,Processing,1086.99,EUR,google_pay,fedex,
226,Shipped,1113.95,EUR,paypal,ups,
227,Delivered,743.95,USD,paypal,ups,
228,Refunded,187.99,GBP,credit_card,pickup_point,
229,Shipped,838.95,EUR,debit_card,overnight,
230,Cancelled,1121.95,GBP,bank_transfer,ups,
231,Returned,488.99,EUR,google_pay,economy,
232,Pending,224.95,GBP,bank_transfer,overnight,
233,Cancelled,175.95,USD,apple_pay,express,
234,Refunded,546.99,GBP,debit_card,ups,
235,Delivered,266.95,EUR,bank_transfer,ups,
236,Pending,922.99,GBP,bank_transfer,pickup_point,
237,Cancelled,1498.99,USD,debit_card,overnight,
238,Delivered,450.95,GBP,bank_transfer,dhl,
239,Refunded,588.99,USD,credit_card,overnight,
240,Refunded,1466.95,USD,bank_transfer,fedex,
241,Refunded,578.95,GBP,debit_card,fedex,
242,Cancelled,1456.99,EUR,google_pay,fedex,
243,Shipped,1132.95,GBP,debit_card,economy,
244,Refunded,55.99,EUR,google_pay,overnight,
245,Processing,712.99,EUR,apple_pay,pickup_point,
246,Cancelled,787.95,USD,debit_card,overnight,
247,Returned,938.95,EUR,apple_pay,express,
248,Returned,1296.95,EUR,paypal,pickup_point,
249,Pending,472.95,USD,google_pay,standard,
250,Processing,91.95,GBP,klarna,pickup_point,
251,Refunded,476.95,EUR,credit_card,ups,
252,Refunded,1167.95,GBP,credit_card,ups,
253,Refunded,721.99,GBP,credit_card,dhl,
254,Cancelled,1127.95,USD,paypal,economy,
255,Delivered,211.99,GBP,paypal,dhl,
256,Refunded,985.99,EUR,credit_card,pickup_point,
257,Returned,733.95,EUR,google_pay,standard,
258,Cancelled,182.99,GBP,apple_pay,pickup_point,
259,Pending,1376.99,EUR,debit_card,standard,
260,Processing,273.99,GBP,apple_pay,ups,
261,Processing,695.95,GBP,debit_card,express,
262,Refunded,678.95,USD,paypal,pickup_point,
263,Pending,1413.99,GBP,debit_card,fedex,
264,Shipped,1186.99,EUR,paypal,pickup_point,
265,Delivered,493.95,USD,credit_card,fedex,
266,Pending,299.99,USD,klarna,pickup_point,
267,Returned,1418.99,GBP,apple_pay,fedex,
268,Returned,955.95,EUR,bank_transfer,fedex,
269,Delivered,758.95,EUR,bank_transfer,overnight,
270,Cancelled,1328.95,GBP,apple_pay,standard,
271,Cancelled,236.95,EUR,bank_transfer,ups,Leave with neighbor if not home
272,Returned,163.99,EUR,google_pay,ups,
273,Refunded,1070.95,USD,paypal,express,
274,Refunded,1336.95,USD,klarna,fedex,
275,Delivered,168.99,EUR,paypal,standard,
276,Delivered,1345.99,EUR,klarna,economy,
277,Processing,968.95,GBP,paypal,economy,
278,Refunded,188.95,GBP,credit_card,ups,
279,Refunded,496.95,USD,klarna,pickup_point,
280,Processing,156.95,GBP,klarna,standard,
281,Processing,688.95,USD,credit_card,dhl,
282,Shipped,1125.95,EUR,credit_card,standard,
283,Processing,411.99,EUR,credit_card,ups,
284,Pending,1220.99,EUR,debit_card,overnight,
285,Refunded,867.99,USD,bank_transfer,overnight,
286,Shipped,916.95,EUR,bank_transfer,pickup_point,
287,Pending,165.95,USD,debit_card,fedex,
288,Shipped,760.99,USD,apple_pay,standard,
289,Processing,834.95,GBP,debit_card,ups,
290,Cancelled,898.99,USD,apple_pay,economy,
291,Refunded,394.95,EUR,paypal,economy,
292,Shipped,733.95,EUR,bank_transfer,ups,
293,Refunded,782.99,USD,credit_card,fedex,
294,Returned,255.99,USD,klarna,express,
295,Pending,1151.95,EUR,klarna,pickup_point,
296,Shipped,839.95,USD,paypal,dhl,
297,Pending,63.95,EUR,klarna,ups,
298,Refunded,1053.95,USD,paypal,standard,
299,Refunded,78.99,GBP,apple_pay,express,
300,Shipped,823.99,GBP,credit_card,express,
301,Processing,301.95,EUR,bank_transfer,overnight,
302,Refunded,948.95,GBP,paypal,dhl,
303,Processing,649.99,GBP,apple_pay,overnight,
304,Processing,1279.95,GBP,debit_card,express,
305,Refunded,981.95,GBP,debit_card,express,
306,Returned,1423.95,GBP,credit_card,pickup_point,Leave with neighbor if not home
307,Returned,1109.99,EUR,klarna,economy,Please leave at front door
308,Refunded,1033.99,USD,debit_card,overnight,
309,Delivered,750.95,GBP,klarna,standard,
310,Processing,90.95,USD,paypal,dhl,
311,Processing,350.99,EUR,debit_card,overnight,
312,Refunded,750.99,EUR,google_pay,dhl,
313,Processing,1274.99,GBP,google_pay,fedex,
314,Pending,1390.99,GBP,bank_transfer,dhl,
315,Processing,246.95,GBP,credit_card,economy,
316,Cancelled,1213.95,USD,bank_transfer,standard,
317,Cancelled,25.95,USD,apple_pay,ups,
318,Cancelled,1254.95,GBP,debit_card,pickup_point,
319,Shipped,1166.99,EUR,bank_transfer,express,
320,Pending,278.95,EUR,google_pay,express,
321,Processing,42.99,USD,apple_pay,fedex,
322,Refunded,519.99,EUR,credit_card,fedex,
323,Shipped,793.99,EUR,klarna,dhl,
324,Shipped,93.95,GBP,credit_card,standard,
325,Refunded,382.99,USD,bank_transfer,overnight,
326,Shipped,919.99,GBP,credit_card,overnight,
327,Pending,481.99,USD,google_pay,economy,
328,Processing,1021.99,GBP,paypal,overnight,
329,Shipped,912.99,GBP,klarna,standard,
330,Delivered,573.99,USD,debit_card,pickup_point,
331,Refunded,1056.99,USD,debit_card,ups,
332,Pending,558.95,GBP,paypal,economy,
333,Pending,837.95,USD,bank_transfer,overnight,
334,Refunded,20.99,USD,paypal,ups,
335,Processing,57.95,GBP,klarna,standard,
336,Refunded,896.95,EUR,credit_card,dhl,
337,Shipped,1030.99,USD,google_pay,express,
338,Cancelled,1013.99,USD,apple_pay,dhl,
339,Delivered,1028.99,EUR,google_pay,dhl,
340,Returned,157.99,EUR,paypal,express,
341,Returned,829.99,USD,apple_pay,pickup_point,
342,Cancelled,992.99,GBP,paypal,dhl,
343,Delivered,632.99,USD,paypal,overnight,
344,Delivered,769.99,GBP,bank_transfer,fedex,
345,Shipped,1015.95,USD,apple_pay,ups,Please pack carefully
346,Processing,539.99,GBP,bank_transfer,dhl,
347,Returned,775.99,EUR,debit_card,overnight,
348,Processing,1255.99,EUR,debit_card,express,
349,Shipped,359.99,EUR,klarna,pickup_point,
350,Pending,342.95,GBP,paypal,dhl,
351,Shipped,610.99,USD,paypal,overnight,
352,Cancelled,1083.99,USD,apple_pay,dhl,
353,Refunded,1164.95,USD,google_pay,standard,
354,Returned,46.95,USD,paypal,standard,
355,Cancelled,127.99,EUR,paypal,express,
356,Processing,1108.95,USD,credit_card,standard,
357,Cancelled,1403.99,GBP,bank_transfer,express,
358,Refunded,296.95,USD,klarna,overnight,
359,Shipped,674.95,GBP,debit_card,pickup_point,
360,Cancelled,625.99,GBP,klarna,standard,
361,Cancelled,582.99,EUR,debit_card,express,
362,Shipped,710.99,USD,debit_card,dhl,
363,Returned,724.99,EUR,debit_card,express,
364,Shipped,338.99,USD,paypal,pickup_point,
365,Refunded,1331.99,USD,klarna,fedex,
366,Returned,913.95,EUR,bank_transfer,standard,
367,Cancelled,121.95,EUR,apple_pay,standard,
368,Shipped,1119.95,GBP,credit_card,economy,
369,Cancelled,1310.95,GBP,apple_pay,pickup_point,
370,Returned,1166.99,USD,paypal,dhl,
371,Delivered,519.99,GBP,paypal,economy,
372,Refunded,95.95,EUR,paypal,dhl,
373,Cancelled,358.95,GBP,bank_transfer,overnight,
374,Delivered,191.99,EUR,klarna,fedex,
375,Pending,407.95,USD,klarna,standard,
376,Refunded,807.95,EUR,bank_transfer,ups,
377,Processing,901.95,USD,bank_transfer,ups,
378,Delivered,1285.99,EUR,debit_card,overnight,
379,Refunded,553.95,EUR,paypal,ups,
380,Delivered,676.99,USD,debit_card,fedex,
381,Refunded,996.99,EUR,debit_card,standard,
382,Processing,347.95,GBP,paypal,pickup_point,
383,Refunded,1386.95,USD,klarna,ups,Residential address
384,Delivered,1151.95,USD,google_pay,fedex,
385,Returned,455.95,USD,klarna,overnight,Business address
386,Shipped,907.99,GBP,credit_card,ups,
387,Pending,57.95,EUR,credit_card,pickup_point,
388,Pending,406.99,USD,paypal,dhl,
389,Processing,1348.95,GBP,debit_card,express,
390,Returned,558.99,USD,debit_card,economy,
391,Returned,696.99,GBP,apple_pay,economy,
392,Processing,730.99,GBP,apple_pay,express,Please leave at front door
393,Pending,63.99,GBP,klarna,standard,
394,Refunded,470.95,EUR,google_pay,economy,
395,Delivered,786.99,USD,debit_card,overnight,
396,Delivered,588.95,EUR,klarna,fedex,
397,Processing,1412.99,EUR,bank_transfer,dhl,
398,Processing,1380.95,EUR,bank_transfer,economy,
399,Returned,863.99,GBP,debit_card,express,Ring doorbell twice
400,Processing,439.95,GBP,apple_pay,express,
401,Processing,863.99,USD,paypal,dhl,
402,Pending,1108.99,EUR,debit_card,express,
403,Refunded,947.99,GBP,apple_pay,dhl,
404,Shipped,845.95,USD,apple_pay,pickup_point,
405,Delivered,518.95,EUR,debit_card,express,
406,Processing,770.95,USD,bank_transfer,dhl,
407,Shipped,1167.95,USD,debit_card,fedex,
408,Shipped,1072.95,USD,klarna,standard,
409,Cancelled,757.99,USD,bank_transfer,ups,
410,Returned,55.95,EUR,credit_card,overnight,
411,Cancelled,608.95,USD,klarna,express,
412,Processing,874.95,GBP,credit_card,economy,
413,Refunded,448.95,USD,apple_pay,overnight,
414,Refunded,1095.95,GBP,klarna,overnight,
415,Shipped,993.99,EUR,credit_card,pickup_point,
416,Returned,850.95,GBP,apple_pay,fedex,
417,Returned,430.95,EUR,bank_transfer,overnight,
418,Processing,1218.99,USD,credit_card,standard,
419,Processing,1315.99,GBP,google_pay,fedex,
420,Refunded,957.95,GBP,credit_card,overnight,
421,Cancelled,856.99,USD,klarna,economy,
422,Delivered,1019.95,USD,paypal,overnight,
423,Shipped,511.99,GBP,klarna,fedex,
424,Returned,883.95,GBP,paypal,ups,
425,Returned,602.95,EUR,debit_card,overnight,
426,Returned,559.95,EUR,debit_card,economy,
427,Cancelled,1225.99,USD,klarna,standard,
428,Refunded,1041.99,GBP,paypal,express,
429,Pending,919.99,GBP,apple_pay,express,
430,Cancelled,644.95,GBP,debit_card,dhl,
431,Cancelled,1046.95,EUR,google_pay,standard,
432,Shipped,234.99,USD,debit_card,dhl,
433,Delivered,1328.95,EUR,klarna,ups,
434,Refunded,697.99,GBP,klarna,standard,
435,Delivered,316.95,EUR,google_pay,pickup_point,
436,Pending,812.99,EUR,paypal,economy,
437,Cancelled,1119.95,USD,klarna,dhl,
438,Cancelled,208.99,GBP,google_pay,express,
439,Returned,597.99,EUR,debit_card,economy,
440,Refunded,1336.95,GBP,debit_card,economy,
441,Returned,875.99,USD,apple_pay,economy,
442,Processing,514.99,GBP,paypal,pickup_point,
443,Refunded,463.99,USD,credit_card,overnight,
444,Returned,1298.99,USD,credit_card,fedex,
445,Delivered,685.95,GBP,apple_pay,ups,
446,Refunded,62.95,USD,paypal,ups,
447,Returned,1381.99,EUR,debit_card,ups,
448,Cancelled,536.99,GBP,google_pay,overnight,
449,Returned,1363.99,USD,klarna,standard,
450,Processing,142.95,USD,bank_transfer,overnight,
451,Returned,1041.95,GBP,google_pay,express,
452,Shipped,1460.99,USD,google_pay,economy,
453,Processing,1108.95,EUR,paypal,fedex,
454,Refunded,1056.95,USD,paypal,dhl,
455,Cancelled,687.95,EUR,paypal,standard,
456,Pending,559.99,GBP,klarna,dhl,
457,Refunded,1052.95,EUR,paypal,standard,Combine with other items if available
458,Processing,95.95,USD,credit_card,express,
459,Delivered,224.99,EUR,google_pay,economy,
460,Refunded,777.99,GBP,bank_transfer,pickup_point,
461,Cancelled,800.99,USD,apple_pay,standard,
462,Delivered,309.99,USD,credit_card,pickup_point,
463,Returned,226.99,USD,debit_card,economy,
464,Refunded,1085.95,EUR,google_pay,express,Business address
465,Delivered,1231.95,EUR,credit_card,pickup_point,
466,Returned,821.99,USD,klarna,economy,
467,Pending,1012.95,GBP,klarna,ups,
468,Shipped,163.99,EUR,apple_pay,standard,
469,Delivered,348.95,EUR,bank_transfer,ups,
470,Processing,1009.95,GBP,apple_pay,fedex,
471,Refunded,1155.99,USD,bank_transfer,pickup_point,
472,Delivered,12.99,EUR,debit_card,express,
473,Pending,114.95,GBP,debit_card,dhl,
474,Shipped,1315.95,USD,klarna,economy,
475,Delivered,998.95,GBP,debit_card,economy,
476,Cancelled,962.95,USD,debit_card,pickup_point,
477,Processing,1001.95,USD,debit_card,express,
478,Delivered,474.95,EUR,google_pay,express,
479,Pending,737.95,GBP,paypal,ups,
480,Processing,359.95,USD,apple_pay,express,
481,Shipped,563.95,GBP,debit_card,express,
482,Shipped,472.95,USD,debit_card,pickup_point,
483,Cancelled,444.99,USD,bank_transfer,dhl,
484,Cancelled,626.99,EUR,paypal,ups,
485,Pending,835.99,EUR,google_pay,standard,
486,Delivered,789.99,GBP,apple_pay,pickup_point,
487,Shipped,1089.99,GBP,paypal,dhl,
488,Returned,294.99,USD,bank_transfer,dhl,
489,Shipped,852.99,EUR,klarna,overnight,
490,Cancelled,373.95,USD,apple_pay,ups,
491,Pending,593.99,GBP,paypal,ups,
492,Processing,281.95,GBP,klarna,pickup_point,
493,Returned,1270.99,USD,apple_pay,economy,
494,Returned,735.95,EUR,apple_pay,ups,
495,Processing,333.99,GBP,apple_pay,express,
496,Pending,1326.99,EUR,apple_pay,express,
497,Pending,778.95,GBP,google_pay,overnight,
498,Shipped,241.99,EUR,credit_card,pickup_point,
499,Cancelled,586.95,USD,bank_transfer,express,
500,Processing,1407.95,USD,debit_card,pickup_point,
501,Pending,828.95,USD,paypal,economy,
502,Delivered,1081.95,USD,bank_transfer,ups,
503,Returned,823.99,USD,credit_card,dhl,
504,Delivered,254.95,EUR,bank_transfer,standard,
505,Delivered,973.99,USD,google_pay,standard,
506,Cancelled,97.95,USD,debit_card,dhl,
507,Pending,836.95,EUR,debit_card,ups,
508,Pending,289.99,USD,credit_card,economy,
509,Pending,767.99,EUR,google_pay,ups,
510,Refunded,1139.95,EUR,paypal,express,
511,Shipped,304.99,USD,klarna,fedex,
512,Cancelled,92.95,EUR,debit_card,overnight,
513,Shipped,338.99,USD,credit_card,pickup_point,
514,Processing,670.95,GBP,apple_pay,economy,
515,Returned,339.95,USD,klarna,economy,
516,Pending,415.95,USD,paypal,fedex,
517,Processing,1182.99,GBP,credit_card,fedex,
518,Pending,1201.95,EUR,paypal,standard,
519,Shipped,537.99,USD,apple_pay,economy,
520,Refunded,857.95,USD,google_pay,overnight,
521,Refunded,377.99,GBP,debit_card,ups,
522,Shipped,602.95,GBP,apple_pay,dhl,
523,Shipped,387.95,USD,paypal,ups,
524,Refunded,227.95,USD,klarna,ups,
525,Shipped,868.95,EUR,bank_transfer,economy,
526,Delivered,1042.99,USD,apple_pay,economy,
527,Processing,1281.95,EUR,google_pay,overnight,
528,Cancelled,244.99,EUR,klarna,fedex,
529,Returned,1289.99,USD,credit_card,ups,
530,Refunded,336.95,EUR,bank_transfer,pickup_point,
531,Pending,606.95,GBP,bank_transfer,overnight,
532,Delivered,696.99,USD,google_pay,overnight,
533,Delivered,385.99,EUR,apple_pay,fedex,
534,Processing,233.99,GBP,apple_pay,overnight,
535,Pending,710.99,EUR,klarna,economy,
536,Processing,1475.95,USD,credit_card,ups,Leave with neighbor if not home
537,Returned,1399.95,EUR,bank_transfer,fedex,
538,Returned,165.95,EUR,bank_transfer,dhl,
539,Refunded,668.95,USD,credit_card,overnight,
540,Shipped,1339.99,GBP,credit_card,dhl,
541,Delivered,1434.95,EUR,credit_card,fedex,
542,Returned,30.99,USD,google_pay,standard,
543,Delivered,1128.95,USD,google_pay,ups,
544,Processing,267.99,USD,debit_card,fedex,
545,Shipped,154.95,GBP,klarna,fedex,
546,Processing,131.99,USD,credit_card,overnight,
547,Delivered,1009.95,EUR,debit_card,fedex,
548,Delivered,358.95,EUR,apple_pay,pickup_point,
549,Shipped,711.95,EUR,credit_card,fedex,
550,Delivered,374.95,USD,bank_transfer,standard,
551,Pending,205.99,GBP,debit_card,dhl,
552,Refunded,897.95,USD,paypal,economy,
553,Pending,534.95,GBP,debit_card,ups,
554,Returned,1238.99,EUR,paypal,ups,
555,Shipped,837.95,USD,paypal,standard,
556,Pending,297.95,GBP,apple_pay,ups,
557,Shipped,1472.99,GBP,apple_pay,dhl,
558,Pending,1004.95,USD,google_pay,pickup_point,Fragile - handle with care
559,Cancelled,1215.95,USD,klarna,ups,
560,Delivered,1329.99,EUR,apple_pay,dhl,
561,Returned,754.99,USD,klarna,economy,
562,Returned,1368.99,EUR,apple_pay,dhl,
563,Processing,69.99,EUR,credit_card,pickup_point,
564,Shipped,337.99,GBP,paypal,express,
565,Returned,207.99,GBP,paypal,express,
